step,loss
1,157.102768
2,138.860291
3,115.524338
4,91.043289
5,70.164688
6,55.643723
7,46.159096
8,37.376358
9,30.797232
10,27.672382
11,24.439253
12,20.867035
13,18.586821
14,16.354065
15,14.937128
16,13.382520
17,12.293653
18,11.464252
19,10.792377
20,9.288489
21,8.658643
22,8.069181
23,7.627139
24,7.227184
25,7.004915
26,6.707450
27,6.878544
28,6.435488
29,6.135878
30,5.961267
31,5.674809
32,5.478769
33,5.417905
34,6.836211
35,5.333682
36,5.167034
37,5.136190
38,4.965425
39,4.917355
40,5.913212
41,4.650159
42,4.600172
43,4.512387
44,4.558073
45,4.553778
46,4.366724
47,4.360821
48,4.488664
49,4.512404
50,4.286821
51,4.361990
52,4.368259
53,4.546770
54,4.244625
55,4.053231
56,4.792260
57,4.145474
58,4.147529
59,3.961217
60,3.974317
61,4.025965
62,4.091183
63,3.947926
64,3.947404
65,4.301754
66,4.178391
67,3.877172
68,3.956105
69,4.151378
70,4.035156
71,3.920981
72,3.872001
73,4.173227
74,3.889559
75,3.984449
76,3.776251
77,3.755151
78,3.780233
79,3.956422
80,3.890476
81,3.820557
82,3.744805
83,3.867452
84,3.757504
85,3.664840
86,3.756091
87,3.862102
88,3.655013
89,3.644223
90,3.634367
91,3.912337
92,3.648943
93,3.651816
94,3.582503
95,3.686106
96,3.592886
97,3.635197
98,3.605312
99,3.561016
100,3.662553
101,3.733564
102,3.698024
103,3.453219
104,3.480145
105,3.660985
106,3.570380
107,3.493371
108,3.571983
109,3.552863
110,3.519599
111,3.468076
112,3.483641
113,3.638172
114,3.474152
115,3.636500
116,3.519602
117,3.535603
118,3.477446
119,3.496225
120,3.497521
121,3.549519
122,3.656034
123,3.478010
124,3.453542
125,3.496574
126,3.491514
127,3.413981
128,3.597182
129,3.605431
130,3.549015
131,3.435885
132,3.433721
133,3.464697
134,3.558857
135,3.563260
136,3.440384
137,3.489685
138,4.647750
139,3.507585
140,3.352871
141,3.457349
142,3.467031
143,3.691681
144,3.399891
145,3.541164
146,3.464544
147,3.593925
148,3.475881
149,3.446210
150,3.353563
151,3.514146
152,3.496904
153,3.497121
154,3.486244
155,3.414526
156,3.369343
157,3.407113
158,3.412416
159,3.350378
