step,loss
1,170.325226
2,145.600952
3,123.626160
4,101.588394
5,86.470917
6,75.165138
7,66.355011
8,59.864998
9,54.302902
10,49.249420
11,45.288555
12,41.993458
13,37.528839
14,34.539524
15,31.467140
16,29.706589
17,27.651699
18,24.815548
19,22.878704
20,20.989611
21,20.337193
22,19.217733
23,17.582220
24,15.654693
25,14.748922
26,13.783447
27,14.141398
28,12.675714
29,11.087906
30,11.322306
31,11.029060
32,10.304462
33,9.595516
34,8.985477
35,8.562971
36,8.127174
37,8.330904
38,7.526418
39,7.778303
40,7.052101
41,7.062036
42,6.083950
43,6.437130
44,6.396630
45,6.428530
46,5.986811
47,5.789687
48,5.467354
49,5.644127
50,5.260774
51,5.310092
52,4.909127
53,5.032591
54,4.992940
55,5.625292
56,5.008238
57,4.717065
58,4.944642
59,4.121644
60,4.503399
61,4.207602
62,3.695496
63,4.187580
64,4.257621
65,4.073030
66,4.022089
67,3.953735
68,4.452610
69,3.996809
70,4.374918
71,3.531193
72,3.785444
73,4.010646
74,3.682785
75,3.750409
76,3.674933
77,3.693906
78,3.582591
79,3.637785
80,4.113849
81,3.568448
82,3.753298
83,3.567529
84,3.474929
85,3.481079
86,3.160862
87,3.512728
88,4.279448
89,3.273531
90,3.571958
91,3.610508
92,3.251617
93,3.349932
94,3.608789
95,3.163968
96,3.280989
97,3.248447
98,3.342532
99,3.186882
100,3.522146
101,3.093412
102,3.494653
103,3.181392
104,3.211009
105,3.227601
106,3.116219
107,3.258137
108,3.381819
109,3.356429
110,3.256263
111,3.157059
112,3.211213
113,4.125806
114,3.095027
115,3.031755
116,2.978387
117,3.109549
118,3.140042
119,3.167977
120,3.086818
121,3.242920
122,3.389810
123,3.092665
124,3.084307
125,2.942402
126,3.234772
127,3.183927
128,3.060038
129,3.223753
130,2.823470
131,3.081609
132,2.911863
133,2.910121
134,2.949645
135,2.815656
136,3.134977
137,2.997782
138,3.003331
139,2.969948
140,2.816546
141,2.933761
142,2.939134
143,2.929450
144,3.133692
145,2.795517
146,2.868094
147,3.042126
148,3.263303
149,2.936185
150,2.985742
151,3.106744
152,3.016530
153,2.859201
154,2.940735
155,2.969510
156,3.184767
157,2.694322
158,2.759422
159,3.278973
160,2.813472
161,2.839184
162,3.286783
163,2.922818
164,2.873853
165,2.830470
166,2.811189
167,2.932208
168,2.666361
169,2.664109
170,2.712080
171,2.772372
172,2.807859
173,3.007555
174,2.723491
175,2.973778
176,2.728100
177,3.044927
178,2.907124
179,2.884495
180,2.793859
181,2.816584
182,4.481722
183,2.718630
184,2.691720
185,2.694441
186,3.140195
187,2.824286
188,2.796689
189,3.152595
190,2.773346
191,2.747497
192,2.724673
193,2.680156
194,2.772612
195,2.658758
196,2.846049
197,2.792223
198,2.950445
199,3.024995
200,2.687442
201,2.838172
202,2.804640
203,2.946558
204,2.632241
205,2.727645
206,2.531292
207,2.689085
208,2.664498
209,2.638968
210,2.648132
211,2.650714
212,2.674254
213,2.676466
214,2.793858
215,2.666538
216,2.753029
217,2.686365
218,2.795495
219,2.661249
220,2.653606
221,2.690197
222,2.727211
223,2.829437
224,2.691728
225,2.671220
226,2.719596
227,2.602835
228,2.760546
229,2.601555
230,2.672133
231,2.535820
232,2.579493
233,2.695441
234,2.946443
235,2.682843
236,2.566139
237,2.822286
238,2.626084
239,2.889174
240,2.735215
241,2.652553
242,2.663188
243,2.747898
244,2.822888
245,2.988825
246,2.684277
247,2.641159
248,2.627844
249,2.573057
250,2.534181
251,2.660898
252,2.639283
253,2.816882
254,2.487046
255,2.560978
256,2.661377
257,2.541094
258,2.910388
259,2.684531
260,2.620098
261,2.621010
262,2.879096
263,2.877894
264,3.074592
265,2.561941
266,2.782098
267,2.586736
268,2.652728
269,2.589742
270,2.625880
271,2.692038
272,2.613179
273,2.490077
274,2.651122
275,2.770963
276,2.778387
277,2.453645
278,2.676248
279,2.747155
280,2.471863
281,2.653833
282,2.658704
283,2.514152
284,2.575072
285,2.506464
286,2.512366
287,2.683726
288,2.651963
289,2.597352
290,2.606439
291,2.585950
292,2.879850
293,2.523713
294,2.639341
295,2.509207
296,2.610863
297,2.520472
298,2.449014
299,2.542822
300,2.603448
301,2.595051
302,2.500297
303,2.610384
304,2.507415
305,2.451129
306,2.503747
307,2.556241
308,2.559118
309,2.766477
310,2.529317
311,2.642522
312,2.460433
313,2.691887
314,2.523053
315,2.586483
316,2.520605
317,2.547811
318,2.539034
319,2.859473
320,2.510052
321,2.551691
322,2.709565
323,2.626601
324,2.566033
325,2.513797
326,2.506358
327,2.740317
328,2.602898
329,2.461634
330,2.579180
331,2.624771
332,2.428133
333,2.620742
334,2.494205
335,2.690474
336,2.617732
337,2.572819
338,2.543614
339,2.506269
340,2.556491
341,3.819576
342,2.453409
343,2.422988
344,2.565405
345,2.400694
346,2.417362
347,2.548029
348,2.426366
349,2.616055
350,2.576159
351,2.488451
352,2.711204
353,3.070395
354,2.501552
355,2.531690
356,2.457115
357,2.482121
358,2.430312
359,2.495812
360,2.423303
361,2.526335
362,2.545817
363,2.352308
364,2.537869
365,2.515962
366,2.436024
367,2.443484
368,2.559377
369,2.443280
370,2.460238
371,2.461786
372,2.420711
373,2.453656
374,2.479323
375,2.618479
376,2.436661
377,2.450657
378,2.478169
379,2.449545
380,2.427536
381,2.433649
382,2.589214
383,2.490408
384,2.457707
385,2.555878
386,2.488869
387,2.472456
388,2.594598
389,2.518361
390,2.405939
391,2.482938
392,2.542329
393,2.341059
394,2.408314
395,2.462597
396,2.600122
397,2.427814
398,2.435504
399,2.544103
400,2.562169
401,2.347887
402,2.400389
403,2.539099
404,2.533288
405,2.387880
406,2.408524
407,2.499544
408,2.444979
409,2.508227
410,2.399176
411,2.475926
412,2.551602
413,2.562743
414,2.595346
415,2.403036
416,2.473396
417,2.469091
418,2.349663
419,2.386700
420,2.511942
421,2.546910
422,2.469034
423,2.472823
424,2.395151
425,2.406231
426,2.758328
427,2.395648
428,2.435875
429,2.464755
430,2.513736
431,2.594037
432,2.630217
433,2.610171
434,2.540911
435,2.393546
436,2.739065
437,2.348327
438,2.439105
439,2.361868
440,2.405783
441,2.377140
442,2.528849
443,2.380378
444,2.368666
445,2.462646
446,2.379006
447,2.489333
448,2.326489
449,2.399520
450,2.497979
451,2.409505
452,2.307437
453,2.451698
454,2.495529
455,2.619303
456,2.412742
457,2.296893
458,2.493307
459,2.402641
460,2.333631
461,2.477897
462,2.509813
463,2.346107
464,2.371508
465,3.647523
466,2.321736
467,2.368336
468,2.506847
469,2.485981
470,2.357192
471,2.315494
472,2.351778
473,2.458746
474,2.334027
475,2.460586
476,2.344273
477,2.568850
478,2.330401
479,2.464550
480,2.391885
481,2.651557
482,2.318063
483,2.496544
484,2.440192
485,2.386879
486,2.454969
487,2.551751
488,2.526417
489,2.392171
490,2.372544
491,2.327776
492,2.270885
493,2.308709
494,2.433532
495,2.491525
496,2.427430
497,2.374995
498,2.398491
499,2.265808
500,2.321342
501,2.261621
502,2.453142
503,2.276822
504,2.384037
505,2.447805
506,2.324693
507,2.633459
508,2.469708
509,2.477150
510,2.456439
511,2.445307
512,2.388349
513,2.340665
514,2.552914
515,2.331022
516,2.391056
517,2.317068
518,2.401232
519,2.367742
520,2.329342
521,2.492805
522,2.302963
523,2.428659
524,2.400257
525,2.329979
526,2.327469
527,2.321268
528,2.360229
529,2.416511
530,2.347781
531,2.348690
532,2.526285
533,2.393430
534,2.334240
535,2.372422
536,2.410997
537,2.402140
538,2.246753
539,2.317856
540,2.339343
541,2.429825
542,2.347807
543,2.321809
544,2.398154
545,2.431388
546,2.508428
547,2.338365
548,2.257512
549,2.361851
550,2.470963
551,2.405902
552,2.445771
553,2.501497
554,2.314708
555,2.309621
556,2.500997
557,2.659974
558,2.362095
559,2.380689
560,2.367806
561,2.231128
562,2.266982
563,2.337410
564,2.292226
565,2.497250
566,2.297431
567,2.479871
568,2.355132
569,2.320812
570,2.430811
571,2.292662
572,2.270414
573,2.195735
574,2.423944
575,2.377736
576,2.377764
577,2.242385
578,2.304120
579,2.390784
580,2.319344
581,2.242502
582,3.792959
583,2.320195
584,2.366831
585,2.280362
586,2.332024
587,2.249522
588,3.568695
589,2.257285
590,2.364017
591,2.501652
592,2.334351
593,2.498397
594,2.358191
595,2.300571
596,2.271711
597,2.282970
598,2.478330
599,2.414787
600,2.660563
601,2.337061
602,2.346271
603,2.364136
604,2.443267
605,2.348170
606,2.296298
607,2.389864
608,2.435232
609,2.199277
610,2.338575
611,2.266297
612,2.251763
613,2.210438
614,2.323064
615,2.635078
616,2.251589
617,2.488262
618,2.302896
619,2.305622
620,2.233507
621,2.309206
622,2.361669
623,2.256753
624,2.406432
625,2.143105
626,2.184790
627,2.397673
628,2.240966
629,2.434255
630,2.280914
631,2.326265
632,2.253425
633,2.307695
634,2.329969
635,2.272199
636,2.194485
637,2.362612
638,2.272794
639,2.342538
640,2.201140
641,2.326098
642,2.183366
643,2.211924
644,2.292092
645,2.240001
646,2.356498
647,2.293059
648,2.274428
649,2.266073
650,2.275837
651,2.235182
652,2.404240
653,2.583044
654,2.265305
655,2.344215
656,2.263966
657,2.364094
658,2.254400
659,2.334127
660,2.225442
661,2.335458
662,2.241199
663,2.553513
664,2.271483
665,2.317874
666,2.260727
667,2.244979
668,2.340160
669,2.278333
670,2.277062
671,2.281120
672,2.244288
673,2.208108
674,2.227862
675,2.249373
676,2.216341
677,2.187565
678,2.310795
679,2.364797
680,2.300776
681,2.293493
682,2.245107
683,2.241140
684,2.237983
685,2.262326
686,2.480897
687,2.415566
688,2.225623
689,2.214639
690,2.382496
691,2.389117
692,2.321322
693,2.222473
694,2.252496
695,2.271750
696,2.244839
697,2.370208
698,2.236359
699,2.245192
700,2.293759
701,2.381042
702,2.193148
703,2.211581
704,2.222355
705,2.320346
706,2.197352
707,2.127695
708,2.263556
709,2.509246
710,2.405710
711,2.298294
712,2.265019
713,2.189403
714,2.365666
715,2.237983
716,2.302531
717,2.299189
718,2.237038
719,2.273746
720,2.218007
721,2.336754
722,2.312844
723,2.325578
724,2.198286
725,2.202466
726,2.258260
727,2.303110
728,2.523535
729,2.206509
730,2.355111
731,2.400055
732,2.389664
733,2.207844
734,2.306355
735,2.238088
736,2.299427
737,2.262702
738,2.105518
739,2.210935
740,2.431564
741,2.258416
742,2.233460
743,2.350526
744,2.275674
745,2.249791
746,2.318841
747,2.151906
748,2.462710
749,2.290944
750,2.306903
751,2.244918
752,2.280822
753,2.186054
754,2.309500
755,2.394143
756,2.233065
757,2.267138
758,2.337881
759,2.262630
760,2.409904
761,2.412635
762,2.286854
763,2.295947
764,2.401083
765,2.300604
766,2.310629
767,2.196576
768,2.158595
769,2.240112
770,2.312748
771,2.353950
772,2.319043
773,2.357530
774,2.262327
775,2.170925
776,2.219658
777,2.175645
778,2.390558
779,2.249648
780,2.285589
781,2.395014
782,2.396350
783,2.261867
784,2.307376
785,2.220325
786,2.137440
787,2.354547
788,2.446065
789,2.532589
