step,loss
1,166.601685
2,144.951965
3,121.775009
4,102.817490
5,86.227722
6,73.210632
7,63.205597
8,55.268803
9,49.973331
10,45.136772
11,41.512207
12,37.222511
13,33.753910
14,31.429090
15,28.526932
16,27.775843
17,25.209011
18,23.028408
19,21.161636
20,20.316982
21,18.225744
22,18.729574
23,15.279694
24,15.353550
25,13.448181
26,12.905107
27,13.033106
28,11.276188
29,10.433171
30,10.544538
31,9.163630
32,9.140110
33,8.582938
34,7.822847
35,7.121612
36,7.938247
37,7.667371
38,6.535062
39,6.085158
40,5.976247
41,6.153186
42,6.236612
43,5.362924
44,5.485400
45,5.175403
46,5.385902
47,5.326560
48,4.990524
49,7.056777
50,4.755632
51,4.820711
52,5.405099
53,5.364158
54,4.522324
55,4.393331
56,4.729044
57,4.704259
58,4.116162
59,4.379933
60,3.743196
61,4.084063
62,4.043881
63,3.935188
64,3.885307
65,4.000146
66,3.811371
67,3.566085
68,3.671548
69,3.542574
70,3.524086
71,3.632605
72,3.805655
73,3.524435
74,3.455450
75,3.398155
76,3.399453
77,3.293977
78,3.412364
79,3.471709
80,3.424240
81,3.204953
82,3.229604
83,3.247210
84,3.269261
85,3.366760
86,3.482730
87,3.545198
88,3.653521
89,3.497082
90,3.231189
91,3.286775
92,3.088528
93,3.259058
94,3.246149
95,3.087633
96,3.025353
97,3.588200
98,3.110596
99,3.169487
100,3.000794
101,3.171274
102,3.030021
103,3.158840
104,3.078560
105,3.115362
106,3.148343
107,2.961313
108,3.185780
109,3.089258
110,2.902204
111,2.942060
112,2.958077
113,3.020687
114,3.270164
115,3.065819
116,2.887419
117,2.888864
118,3.230570
119,2.904924
120,3.076183
121,3.016004
122,3.163589
123,3.071095
124,2.923039
125,2.903718
126,3.014092
127,2.790066
128,3.055024
129,2.939196
130,2.914886
131,2.938250
132,2.821978
133,2.955194
134,2.878311
135,3.072157
136,3.085082
137,2.704426
138,3.045520
139,2.844065
140,3.058162
141,2.740020
142,2.891283
143,3.261870
144,3.032452
145,2.859390
146,2.803863
147,2.815046
148,2.996621
149,2.700396
150,2.832674
151,2.920912
152,2.761196
153,2.892536
154,2.780341
155,2.766852
156,2.970287
157,2.699870
158,2.946625
159,3.066507
160,2.989515
161,2.982105
162,2.977034
163,2.762720
164,2.905079
165,2.794193
166,2.888667
167,2.809146
168,2.712447
169,2.864801
170,2.711850
171,2.944587
172,2.787689
173,2.778040
174,2.794642
175,2.738256
176,2.732942
177,2.776036
178,2.793884
179,2.852688
180,2.688614
181,3.015964
182,2.775286
183,2.809179
184,3.341146
185,2.748479
186,2.634666
187,2.761619
188,2.570416
189,2.616284
190,2.760586
191,2.666908
192,2.676770
193,2.806210
194,2.612580
195,2.802339
196,2.773845
197,2.669250
