step,loss
1,167.744827
2,145.218567
3,121.848572
4,101.666656
5,85.545540
6,72.575249
7,63.062737
8,55.495567
9,49.421295
10,44.497437
11,40.076874
12,36.307594
13,33.394230
14,29.875057
15,27.446056
16,26.189438
17,24.229313
18,22.466133
19,20.392534
20,18.913311
21,17.666058
22,17.177320
23,15.124277
24,14.095313
25,13.701519
26,12.725800
27,11.968193
28,10.271984
29,10.587055
30,9.522715
31,9.521042
32,8.630997
33,8.396604
34,8.003052
35,7.631962
36,7.185649
37,6.483548
38,6.438506
39,6.118891
40,5.977887
41,5.838701
42,5.666258
43,5.772777
44,5.058744
45,5.345850
46,5.077650
47,5.369046
48,4.738794
49,5.017179
50,4.503253
51,4.383944
52,5.111230
53,4.298859
54,4.213014
55,4.466728
56,4.079584
57,4.081178
58,4.004210
59,4.184049
60,4.055878
61,3.956748
62,3.762669
63,3.760571
64,3.944305
65,3.532545
66,3.663975
67,3.699321
68,3.829086
69,3.614488
70,3.816557
71,3.712158
72,3.384542
73,3.787920
74,3.484602
75,3.528889
76,3.372529
77,3.337803
78,3.419434
79,3.298452
80,3.187999
81,3.423925
82,3.152361
83,3.225832
84,3.070151
85,3.211505
86,3.333078
87,3.153708
88,3.217353
89,3.104419
90,3.162576
91,3.097528
92,3.513962
93,3.064555
94,3.138286
95,3.047428
96,3.175410
97,3.240947
98,2.971402
99,2.906066
100,3.026571
101,2.993903
102,3.222896
103,3.127241
104,2.952643
105,2.962933
106,3.013726
107,2.948629
108,2.946034
109,2.952374
110,3.071165
111,3.076562
112,2.873020
113,2.897644
114,2.921548
115,3.145009
116,2.962219
117,2.780761
118,2.989956
119,2.856389
120,2.895558
121,2.959881
122,2.897557
123,2.776724
124,2.879269
125,2.904079
126,2.794072
127,2.774024
128,2.801674
129,3.030946
130,2.797724
131,2.767112
132,2.760882
133,2.894770
134,2.803308
135,2.868424
136,2.826187
137,2.712247
138,2.654708
139,2.750335
140,2.655808
141,2.883070
142,2.750959
143,2.690833
144,2.716615
145,2.719431
146,2.759799
147,2.770999
148,2.702670
