step,loss
1,168.581665
2,146.485626
3,122.196739
4,101.674873
5,85.090096
6,73.752335
7,63.510651
8,55.570602
9,50.378189
10,44.656433
11,40.618866
12,36.957695
13,34.126720
14,30.959885
15,28.116039
16,26.694168
17,24.490248
18,22.610826
19,20.847294
20,19.956511
21,18.370352
22,16.755421
23,15.971880
24,15.103031
25,14.490355
26,12.676224
27,12.151365
28,11.949553
29,10.397213
30,10.032067
31,9.332477
32,9.533644
33,8.980498
34,8.646574
35,8.618824
36,7.855077
37,7.595085
38,6.620114
39,6.838846
40,6.667489
41,6.164022
42,5.890473
43,5.999235
44,5.705629
45,5.385851
46,5.314626
47,5.278490
48,4.908269
49,5.105750
50,4.842608
51,4.742166
52,4.412128
53,4.721914
54,4.438516
55,4.243355
56,4.211271
57,4.201735
58,4.037493
59,4.566599
60,3.840661
61,4.268715
62,4.263895
63,3.867743
64,4.126397
65,3.831088
66,3.988174
67,3.646992
68,3.531888
69,3.830750
70,3.535634
71,3.607367
72,4.020587
73,3.466574
74,3.416457
75,3.451597
76,3.511609
77,3.224686
78,3.651836
79,3.468237
80,3.196452
81,3.240646
82,3.387938
83,3.404105
84,3.237934
85,3.377863
86,3.380000
87,3.192186
88,3.437231
89,3.425991
90,3.172896
91,3.170189
92,3.529533
93,3.303180
94,3.258505
95,3.125465
96,3.181545
97,3.133835
98,3.239575
99,3.013432
100,3.142176
101,3.154915
102,3.287527
103,3.106240
104,3.114129
105,3.088981
106,3.160595
107,2.905463
108,3.192114
109,3.146245
110,2.965775
111,3.328630
112,3.070135
113,2.999205
114,3.277184
115,2.957627
116,3.009590
117,2.911049
118,2.935121
119,3.017372
120,3.084256
121,2.881192
122,2.887696
123,2.905049
124,2.840358
125,2.854971
126,2.879027
127,2.825027
128,3.178485
129,2.804693
130,2.929371
131,3.040241
132,2.976809
133,2.875450
134,2.874720
135,2.986024
136,2.964517
137,2.810175
138,2.767683
139,2.884307
140,2.778710
141,2.946073
142,2.751460
143,2.831249
144,2.733675
145,2.690669
146,2.804842
147,2.909202
148,2.710009
149,2.705699
150,2.702338
151,2.730194
152,2.665833
153,2.784996
154,2.837543
155,2.728280
156,2.852805
157,2.727455
158,2.708264
159,2.647030
160,2.788352
161,2.650847
162,2.729591
163,2.588581
164,2.677987
165,2.716267
166,2.709053
167,2.767572
168,2.835476
169,3.916515
170,2.941339
171,2.846658
172,2.665242
173,2.765661
174,2.649139
175,2.800959
176,2.740711
177,2.650669
178,2.724520
179,2.788207
180,2.691043
181,2.602310
182,2.621030
183,2.825727
184,2.558728
185,2.681790
186,2.620289
187,2.749203
188,2.619253
189,2.727543
190,2.604290
191,2.665113
192,2.616724
193,2.777968
194,2.727468
195,2.566502
196,2.617044
197,2.655475
198,2.643298
199,2.545547
200,2.546337
201,2.767453
202,2.641192
203,2.625002
204,2.727708
205,2.508555
206,2.571955
207,2.602415
208,2.854841
209,2.549848
210,2.542872
211,2.639695
212,2.535376
213,2.640159
214,2.618078
215,2.596471
216,2.653448
217,2.601693
218,2.517080
219,2.502614
220,2.608094
221,2.557420
222,2.636164
223,2.565946
224,2.686667
225,2.724778
226,2.812861
227,2.590039
228,2.525400
229,2.534516
230,2.726788
231,2.647168
232,2.528752
233,2.588176
234,2.601553
235,2.449980
236,2.564338
237,2.576787
238,2.524423
239,2.463730
240,2.498703
241,2.536479
242,2.863188
243,2.516822
244,2.535195
245,2.472549
246,2.529611
247,2.475024
248,2.493452
249,2.673287
250,2.729398
251,2.570649
252,2.557423
253,2.557419
254,2.462849
255,2.509872
256,2.498357
257,2.470998
258,2.526710
259,2.444905
260,2.792686
261,2.570545
262,2.501039
263,2.490454
264,2.524144
265,2.510949
266,2.457377
267,2.400394
268,2.527750
269,2.443340
270,2.708870
271,2.404806
272,2.477592
273,2.504110
274,2.532137
275,2.470361
276,2.524057
277,2.570540
278,2.476396
279,2.497962
280,2.484084
281,2.488773
282,2.376122
283,2.423482
284,2.518670
285,2.467123
286,2.587356
287,2.500988
288,2.495323
289,2.619253
290,2.412359
291,2.437618
292,2.425337
293,2.424607
294,2.525192
295,2.575377
296,2.447340
297,2.449070
298,2.445471
299,2.693100
300,2.601452
301,2.440050
302,2.438124
303,2.436667
304,2.626667
305,2.469015
306,2.441869
307,2.533252
308,2.470712
309,2.498384
310,2.489026
311,2.354129
312,2.414210
313,2.461890
314,2.439511
315,2.462071
316,2.468233
317,2.407506
318,2.402292
319,2.482897
320,2.461003
321,2.481532
322,2.467949
323,2.376416
324,2.414519
325,2.565063
326,2.591430
327,2.442415
328,2.416298
329,2.399024
330,2.377016
331,2.484411
332,2.445798
333,2.430179
334,2.489714
335,2.385539
336,2.399096
337,2.448443
338,2.409360
339,2.331243
340,2.460019
341,2.520337
342,2.401249
343,2.376442
344,2.415069
345,2.405438
346,2.348274
347,2.385126
348,2.470160
349,2.437477
350,2.551770
351,2.348478
352,2.412310
353,2.443416
354,2.357920
355,2.541333
356,2.434294
357,2.418400
358,2.353812
359,2.502232
360,2.383530
361,2.315980
362,2.834298
363,2.829968
364,2.397372
365,2.370553
366,2.431252
367,2.406771
368,2.399403
369,2.393312
370,2.423475
371,2.376148
372,2.447458
373,2.499847
374,2.387257
375,2.409920
376,2.377105
377,2.458831
378,2.441996
379,2.338521
380,2.297350
381,2.388310
382,2.574192
383,2.423927
384,2.447806
385,2.413027
386,2.365793
387,2.627847
388,2.277758
389,2.383635
390,2.411319
391,2.471567
392,2.383788
393,2.380988
394,2.408092
395,2.398743
396,2.403622
397,2.364128
398,2.551914
399,2.358940
400,2.383062
401,2.485219
402,2.320148
403,2.393137
404,2.317892
405,2.360095
406,2.470015
407,2.369422
408,2.576091
409,2.354980
410,2.317203
411,2.333591
412,2.749593
413,2.341590
414,2.323338
415,2.319203
416,2.300973
417,2.370460
418,2.345731
419,2.421091
420,2.421792
