step,loss
1,155.948364
2,137.147583
3,114.336617
4,92.469650
5,71.121788
6,55.701008
7,45.386452
8,36.662655
9,30.572132
10,26.516705
11,23.104153
12,20.223141
13,19.017975
14,16.468576
15,14.700186
16,14.263611
17,12.641650
18,11.698677
19,10.900454
20,9.950383
21,9.234688
22,9.096490
23,7.923605
24,7.545484
25,7.198987
26,7.117354
27,7.068017
28,6.714188
29,6.808212
30,6.598168
31,6.204769
32,5.637122
33,6.160008
34,6.084326
35,6.164284
36,5.502843
37,5.621708
38,5.857635
39,5.143670
40,5.415995
41,5.665133
42,4.992250
43,5.058019
44,4.776319
45,4.599016
46,4.739191
47,4.652390
48,4.533588
49,4.275270
50,4.516387
51,4.487439
52,4.417399
53,4.730883
54,4.440762
55,4.387793
56,4.545342
57,4.175629
58,4.047330
59,4.089051
60,3.950819
61,4.273967
62,4.320021
63,3.968539
64,4.109022
65,3.936311
66,3.839890
67,4.095740
68,3.899957
69,4.030246
70,4.214925
71,3.846084
72,3.911312
73,4.087370
74,3.931180
75,3.817559
76,3.783445
77,3.922725
78,3.790763
79,3.828136
80,3.719671
81,3.624160
82,3.772312
83,3.738884
84,3.647359
85,3.643869
86,3.615624
87,3.721833
88,3.723627
89,3.726391
90,3.616970
91,3.633652
92,3.899634
93,3.756771
94,3.641057
95,3.720024
96,3.544334
97,3.586137
98,3.543190
99,3.814770
100,3.660736
101,3.648815
102,3.940844
103,3.562917
104,4.223348
105,3.627218
106,3.511933
107,3.681256
108,3.837250
109,3.506175
110,3.668095
111,3.685106
112,3.523709
113,3.499467
114,3.476434
115,3.470260
116,3.548666
117,3.538114
118,3.498847
119,3.516972
120,3.516132
121,3.495391
122,3.402761
123,3.606035
124,3.516037
125,3.520630
126,3.479535
127,3.504470
128,3.448539
129,3.388244
130,3.529939
131,3.595520
132,3.419141
133,3.586325
134,3.505282
135,3.503612
136,3.414276
137,3.514616
138,3.490977
139,3.543891
140,3.412071
141,3.602650
142,3.572274
143,3.467837
144,3.520032
145,3.386902
146,3.605157
147,3.510985
148,3.559317
149,3.407202
150,3.423623
151,3.402764
152,3.474020
153,3.556142
154,3.309098
155,3.569845
156,3.415896
157,3.405938
158,3.365763
159,3.422095
160,3.429866
161,3.392057
162,3.357409
163,3.331328
164,3.405798
165,3.630404
166,3.330897
167,3.452185
168,3.349026
169,3.274954
170,3.567139
171,3.379786
172,3.443457
173,3.346330
174,3.305928
175,3.469295
176,3.249767
177,3.344178
178,3.433966
179,3.312436
180,3.460471
181,3.469950
182,3.336472
183,3.344616
184,3.378358
185,3.468515
186,3.304997
187,3.289859
188,3.310197
189,3.288419
190,3.268544
191,3.300397
192,3.452051
193,3.298452
194,3.298236
195,3.289090
196,3.287803
197,3.414183
198,3.193004
199,3.362757
200,3.280419
201,3.499147
202,3.294127
203,3.345428
204,3.296750
205,3.482327
206,3.331583
207,3.432947
208,3.332638
209,3.303898
210,3.175163
211,3.314541
212,3.342320
213,3.464411
214,3.466554
215,3.368973
216,3.221494
217,3.318676
218,3.227333
219,3.310229
220,3.344392
221,3.338876
222,3.176524
223,3.262617
224,3.295022
225,3.339449
226,3.249527
227,3.315732
228,3.252246
229,3.239239
230,3.210866
231,3.294970
232,3.304849
233,3.373397
234,3.204187
235,3.242291
236,3.260099
237,3.316219
238,3.315758
239,3.159234
240,3.321583
241,3.247066
242,3.254751
243,3.290331
244,3.266988
245,3.376126
246,3.212266
247,3.266853
248,3.389280
249,3.309600
250,3.210498
251,3.394953
252,3.172285
253,3.282485
254,3.237392
255,3.251430
256,3.221195
257,3.286388
258,3.336657
259,3.280267
260,3.176185
261,3.212323
262,3.180240
263,3.394697
264,3.321673
265,3.155256
266,3.324074
267,3.514417
268,3.250885
269,3.280643
270,3.231288
271,3.298128
272,3.199783
273,3.309618
274,3.202313
275,3.172521
276,3.206170
277,3.297325
278,3.239031
279,3.172915
280,3.433129
281,3.083098
282,3.315804
283,3.407891
284,3.157724
285,3.276674
286,3.342739
287,3.300379
288,3.258493
289,3.159898
290,3.286469
291,3.173222
292,3.269637
293,3.414586
294,3.133646
295,3.266586
296,3.215386
297,3.293432
298,3.208899
299,3.133833
300,3.259947
301,3.154025
302,3.258810
303,3.222690
304,3.105026
305,3.128445
306,3.278332
307,3.163490
308,3.231047
309,3.136733
310,3.175941
311,3.154833
312,3.172433
313,3.147012
314,3.234598
315,3.130654
316,3.207183
317,3.219286
318,3.167128
319,3.126956
320,3.229163
321,3.243393
322,3.150551
323,3.141279
324,3.338593
325,3.138792
326,3.169702
327,3.259977
328,3.201137
329,3.202957
330,3.115155
331,3.257742
332,3.136652
333,3.139988
334,3.106182
335,3.124218
336,3.108984
337,3.189993
338,3.142584
339,3.136713
340,3.261254
341,3.352408
342,3.140960
343,3.200521
344,3.086986
345,3.206994
346,3.137870
347,3.146064
348,3.081961
349,3.124416
350,3.224995
351,3.213818
352,3.336421
353,3.182928
354,3.146938
355,3.109472
356,3.252663
357,3.126160
358,3.032605
359,3.046091
360,3.143157
361,3.106755
362,3.074902
363,3.111509
364,3.154984
365,3.147489
366,3.160129
367,3.097668
368,3.042110
369,3.107369
370,3.121857
371,3.095981
372,3.050685
373,3.067866
374,3.074296
375,3.096555
376,3.116042
377,3.190694
378,3.035912
379,3.085226
380,3.103815
381,3.076297
382,3.115617
383,3.010018
384,3.131601
385,3.186400
386,3.011056
387,3.134654
388,3.101517
389,3.094668
390,3.067611
391,3.064143
392,3.198384
393,3.047429
394,3.137741
395,3.029968
396,3.230025
397,3.088269
398,3.123912
399,3.158602
400,3.072146
401,3.073615
402,3.037136
403,3.156365
404,3.067064
405,3.023183
406,3.166374
407,2.996233
408,3.052346
409,3.071424
410,3.034045
411,2.992501
412,3.024652
413,3.015050
414,3.109284
415,3.027991
416,3.338628
417,3.106753
418,3.122064
419,3.154672
420,3.058795
421,3.059373
422,3.098679
423,2.966925
424,3.064999
425,3.002555
426,3.347718
427,3.061741
428,3.107101
429,3.079350
430,3.131383
431,3.161478
432,2.987296
433,3.000637
434,2.953367
435,3.153355
436,3.039341
437,3.006287
438,3.033986
439,2.997714
440,3.078363
441,3.001465
442,3.061316
443,3.131774
444,2.976601
445,3.042039
446,3.022968
447,2.990080
448,3.027823
449,3.151814
450,2.984674
451,2.971927
452,3.072793
453,2.916208
454,3.181261
455,3.246981
456,3.006480
457,3.076395
458,2.977698
459,2.941821
460,3.049929
461,3.024891
462,3.110836
463,3.026484
464,3.063197
465,3.011317
466,2.973592
467,2.893887
468,3.115408
469,3.084790
470,3.147458
471,3.055797
472,3.006855
473,2.893293
474,3.043671
475,3.085322
476,2.997835
477,3.181382
478,3.149220
479,3.076356
480,3.139930
481,2.977456
482,3.101233
483,2.998269
484,3.081606
485,3.023812
486,2.963400
487,2.958020
488,3.029922
489,3.033011
490,3.066781
491,3.007154
492,2.992123
493,3.106364
494,3.020054
495,3.023612
496,3.030298
497,3.118776
498,3.017272
499,2.996252
500,2.948932
501,3.047104
502,2.945226
503,2.969813
504,2.861165
505,2.946131
506,2.928837
507,2.942611
508,3.200206
509,2.999901
510,2.936671
511,2.892490
512,2.899035
513,2.928139
514,2.936441
515,3.039722
516,2.931972
517,2.891624
518,2.947470
519,2.930562
520,3.027743
521,2.966094
522,2.928532
523,2.901208
524,3.061251
525,2.922253
526,2.976251
527,2.968291
528,3.001069
529,2.918920
530,2.928827
531,2.890894
532,2.940825
533,2.933900
534,2.938151
535,2.894084
536,2.859048
537,2.926425
538,2.960412
539,2.942710
540,3.910480
541,2.991034
542,2.839774
543,3.044192
544,2.890008
545,2.859697
546,2.974116
547,3.041059
548,2.904197
549,3.004257
550,2.991739
551,2.897121
552,2.895694
553,2.858761
554,2.933447
555,2.874991
556,2.948878
557,2.994033
558,2.892506
559,2.839192
560,2.904272
561,2.890305
562,2.898841
563,2.962969
564,2.886390
565,3.014533
566,2.904562
567,2.948813
568,2.906865
569,2.994121
570,2.946398
571,2.922412
572,2.877949
573,2.894438
574,2.798957
575,2.820868
576,2.995034
577,2.905890
578,2.909142
579,3.009148
580,2.925063
581,2.881013
582,2.906181
583,2.919309
584,2.873184
585,2.876897
586,2.898368
587,2.858567
588,2.835449
589,2.929022
590,2.878703
591,2.918166
592,3.004319
593,2.853450
594,2.798900
595,2.987447
596,2.953871
597,2.862072
598,2.969827
599,2.907794
600,2.891098
601,2.839381
602,2.836634
603,2.915331
604,2.865215
605,2.846558
606,3.010997
607,3.039762
608,2.875525
609,2.805264
610,2.854821
611,3.010492
612,2.950759
613,2.843190
614,2.945745
615,2.874496
616,2.854443
617,2.887025
618,2.876924
619,3.068812
620,2.956133
621,2.913347
622,2.819038
623,2.852131
624,2.946789
625,2.870133
626,2.980694
627,2.847493
628,2.869312
629,2.796725
630,2.839622
631,2.870690
632,2.810308
633,2.839488
634,2.930575
635,2.830265
636,2.787338
637,2.845011
638,2.866433
639,2.805353
640,2.867569
641,2.883116
642,2.826413
643,2.805938
644,2.798152
645,2.770374
646,2.830600
647,2.839004
648,2.960728
649,2.879179
650,2.858552
651,2.875084
652,2.763945
653,2.840800
654,2.805507
655,3.035340
656,2.916642
657,2.917454
658,2.959525
659,2.929597
660,2.844052
661,2.845047
662,2.885458
663,2.811047
664,2.835062
665,2.825689
666,2.778595
667,2.791236
668,2.946619
669,2.821358
670,2.878186
671,2.914607
672,2.871254
673,2.781821
674,2.860265
675,2.905971
676,2.812085
677,2.882863
678,2.843760
679,2.858316
680,2.790879
681,2.842537
682,2.896915
683,2.789891
684,2.815095
685,2.958116
686,3.116059
687,2.838476
688,2.828343
689,2.958383
690,2.860301
691,2.856418
692,2.876054
693,2.781774
694,2.843850
695,2.861073
696,2.880807
697,2.870618
698,2.839676
699,2.958306
700,2.875159
701,2.750429
702,2.885917
703,2.862346
704,2.778114
705,2.793050
706,2.839277
707,2.837631
708,2.941524
709,2.773893
710,2.855610
711,2.841405
712,2.840535
713,2.836370
714,2.895193
715,2.875749
716,2.787574
717,2.828394
718,2.945260
719,2.818540
720,2.852282
721,2.903557
722,2.828908
723,2.784043
724,2.780229
725,2.876753
726,2.809233
727,2.819465
728,2.790523
729,2.916290
730,2.824656
731,2.878980
732,2.792139
733,2.776239
734,2.865838
735,2.864134
736,2.829518
737,2.859469
738,2.858636
739,2.841196
740,2.852240
741,2.844113
742,2.767576
743,2.817951
744,2.767388
745,2.751823
746,2.926178
747,2.821762
748,2.790479
749,2.911635
750,2.809734
751,2.889023
752,2.818875
753,2.819696
754,3.163621
755,2.850871
756,2.792783
757,2.813301
758,2.766533
759,2.728870
760,2.799276
761,2.859143
762,2.751705
763,2.840604
764,2.859213
765,2.787173
766,2.819087
767,2.803896
768,2.826928
769,2.811653
770,2.968959
771,2.789563
772,2.887816
773,2.885945
774,2.796600
775,3.301837
776,2.768384
777,2.741796
778,2.772935
779,2.859693
780,2.809992
781,2.786345
782,2.779263
783,2.765203
784,2.752558
785,2.745877
786,2.818913
787,2.762056
788,2.838662
789,2.906285
790,2.733422
791,2.881788
792,2.790970
793,2.810166
794,2.904470
795,2.760474
796,2.793596
797,2.767571
798,2.785188
799,2.815532
800,2.879351
801,2.821049
802,2.836728
803,2.873548
804,2.812219
805,2.763850
806,2.695663
807,2.773484
808,2.755316
809,2.749450
810,2.760955
811,2.758858
812,2.783314
813,2.757007
814,2.783141
815,2.810311
816,2.717443
817,2.938256
818,2.742866
819,2.775995
820,2.758628
821,2.786022
822,3.013649
823,2.827088
824,2.849338
825,2.752150
826,2.823771
827,2.758005
828,2.775641
829,2.761535
830,2.791917
831,2.849046
832,2.772768
833,2.781198
834,2.847000
835,2.756838
836,2.770741
837,2.749762
838,2.775708
839,2.718445
840,2.763000
841,2.746389
842,2.717416
843,2.767417
844,2.862164
845,2.829745
846,2.725732
847,2.698583
848,2.764459
849,2.851523
850,2.794932
851,2.731013
852,2.707697
853,2.790572
854,2.827030
855,2.808753
856,2.765365
857,2.834214
858,2.710799
859,2.764402
860,2.727608
861,2.804497
862,2.722725
863,2.750191
864,2.761222
865,2.818002
866,2.860477
867,2.762105
868,2.780647
869,2.752063
870,2.754663
871,2.813946
872,2.821735
873,2.771279
874,2.861914
875,2.765011
876,2.851921
877,2.775934
878,2.719424
879,2.732140
880,2.754653
881,2.854417
882,2.695507
883,2.784169
884,2.796612
885,2.824018
886,2.758386
887,2.780555
888,2.730885
889,2.782306
890,2.723530
891,2.780383
892,2.656318
893,2.731787
894,2.899168
895,2.726185
896,2.797021
897,2.684875
898,2.907609
899,2.757036
900,2.725919
901,2.742211
902,2.775275
903,2.727170
904,2.778510
905,2.758772
906,2.922501
907,2.710427
908,2.748528
909,2.748962
910,2.763721
911,2.834862
912,2.797262
913,2.821580
914,2.757068
915,3.261804
916,2.711494
917,2.766362
918,2.834652
919,2.816988
920,2.796696
921,2.722367
922,2.752766
923,2.655692
924,2.804279
925,2.719425
926,2.782749
927,2.753127
928,2.781553
929,2.733159
930,2.836002
931,2.695574
