step,loss
1,152.102524
2,136.041122
3,112.823807
4,91.588051
5,71.041405
6,56.927113
7,48.316803
8,39.309898
9,34.937889
10,29.117714
11,25.525017
12,21.873577
13,20.317234
14,17.702980
15,16.180258
16,14.259645
17,13.547157
18,12.010676
19,10.944698
20,10.151033
21,9.266321
22,8.795702
23,7.562973
24,8.040132
25,7.137903
26,7.759405
27,7.072424
28,6.283095
29,7.045534
30,6.471139
31,5.660916
32,6.216364
33,5.105450
34,5.546074
35,5.476746
36,5.229367
37,5.388220
38,4.989191
39,5.481961
40,5.524018
41,5.356268
42,5.412919
43,4.730679
44,4.700304
45,4.566588
46,4.930634
47,4.533606
48,5.421026
49,4.535033
50,5.078372
51,4.517505
52,4.533411
53,4.589215
54,4.209255
55,4.611729
56,4.289367
57,4.642836
58,4.549793
59,4.113688
60,4.191190
61,4.212022
62,4.280594
63,4.216738
64,4.309543
65,4.098212
66,4.267700
67,4.087527
68,4.208948
69,4.154053
70,3.896684
71,3.884622
72,3.828537
73,4.510107
74,3.765154
75,4.089150
76,4.081386
77,3.952148
78,3.873644
79,3.934865
80,3.739439
81,3.796142
82,3.863180
83,3.767976
84,3.752625
85,3.689750
86,3.927137
87,4.106086
88,3.805556
89,3.870670
90,3.827862
91,3.827516
92,3.747254
93,3.628888
94,4.123330
95,3.616774
96,3.658786
97,3.739181
98,3.686049
99,3.584054
100,3.641887
101,3.551156
102,3.574311
103,3.759279
104,3.622957
105,3.542851
106,3.598697
107,3.546786
108,3.632362
109,3.626073
110,3.557161
111,3.607156
112,3.669298
113,3.636374
114,3.570275
115,3.876464
116,3.519213
117,3.538936
118,3.559504
119,3.538836
120,3.552116
121,3.459925
122,3.539562
123,3.417221
124,3.516027
125,3.802459
126,3.423665
127,3.659717
128,3.495122
129,3.448201
130,3.539111
131,3.625937
132,3.452913
133,3.354264
134,3.454945
135,3.363511
136,3.417188
137,3.779952
138,3.556761
139,3.646017
140,3.523369
141,3.518653
142,3.722754
143,3.334084
144,3.498501
145,3.474694
146,3.463984
147,3.502166
148,3.460008
149,3.411150
150,3.406900
151,3.406221
152,3.429201
153,3.384061
154,3.524774
155,3.351716
156,3.338516
157,3.590844
158,3.430100
159,3.340494
160,3.331988
161,3.327557
162,3.315684
163,3.363991
164,3.361796
165,3.532804
166,3.364744
167,3.293880
168,3.361547
169,3.414526
170,4.259739
171,3.364765
172,3.294001
173,3.361177
174,3.402553
175,3.253148
176,3.345237
177,3.242477
178,3.338857
179,3.336673
180,3.360046
181,3.374190
182,3.439491
183,3.338135
184,3.337940
185,3.351711
186,3.240903
187,3.604317
188,3.399896
189,3.408177
190,3.354309
191,3.270092
192,3.669797
193,3.399322
194,3.314623
195,3.404351
196,3.265446
197,3.308324
198,3.298227
199,3.358639
200,3.341644
201,3.649665
202,3.286021
203,3.302246
204,3.287591
205,3.219264
206,3.300230
207,3.193831
208,3.313311
209,3.382131
210,3.217745
211,3.431207
212,3.425739
213,3.301458
214,3.311791
215,4.347912
216,3.406525
217,3.293418
218,3.224817
219,3.390479
220,3.290824
221,3.440536
222,3.335325
223,3.318172
224,3.434618
225,3.298291
226,3.339249
227,3.285086
228,3.369163
229,3.323443
230,3.198329
231,3.259353
232,3.152912
233,3.264539
234,3.320899
235,3.259265
236,3.167344
237,3.189244
238,3.270499
239,3.392248
240,3.161630
241,3.200930
242,3.281155
243,3.221207
244,3.323545
245,3.259951
246,3.277108
247,3.407558
248,3.204087
249,3.257919
250,3.284240
251,3.389311
252,3.326446
253,3.235606
254,3.219172
255,3.259297
256,3.229128
257,3.189066
258,3.214819
259,3.228042
260,3.285059
261,3.204267
262,3.338213
263,3.272859
264,3.217957
265,3.113010
266,3.142529
267,3.209596
268,3.103542
269,3.207088
270,3.130272
271,3.270807
272,3.126031
273,3.346213
274,3.102367
275,3.170095
276,3.161386
277,3.129595
278,3.304282
279,3.200681
280,3.277416
281,3.211168
282,3.258266
283,3.236553
284,3.377883
285,3.309199
286,3.240785
287,3.515970
288,3.198949
289,3.308082
290,3.271457
291,3.112262
292,3.231301
293,3.129298
294,3.272810
295,3.279531
296,3.231750
297,3.219691
298,3.109737
299,3.247045
300,3.614394
301,3.156572
302,3.228439
303,3.086709
304,3.268749
305,3.122491
306,3.100886
307,3.132132
308,3.074643
309,3.094834
310,3.072716
311,3.200353
312,3.081548
313,3.102052
314,3.243173
315,3.067124
316,3.314017
317,3.175218
318,3.363156
319,3.202643
320,3.161778
321,3.120572
322,3.045933
323,3.057308
324,3.393461
325,3.132232
326,3.072346
327,3.055993
328,3.102472
329,3.145575
330,3.108342
331,3.115122
332,3.221895
333,3.203994
334,3.132445
335,3.191941
336,3.146255
337,3.075490
338,3.096199
339,3.174520
340,3.133234
341,3.073331
342,2.989595
343,3.201466
344,3.088381
345,3.093945
346,3.077445
347,3.153615
348,3.151191
349,3.034145
350,2.999599
351,3.135993
352,3.033688
353,3.227037
354,3.130702
355,3.099268
356,3.144217
357,3.081689
358,3.098740
359,3.072471
360,3.001788
361,3.137257
362,3.120538
363,3.053119
364,3.118778
365,3.146580
366,3.047319
367,3.349406
368,3.119968
369,3.093149
370,3.246186
371,3.027161
372,3.048130
373,3.059329
374,3.082378
375,3.146795
376,3.339697
377,3.026193
378,3.051811
379,3.038981
380,3.083281
381,3.432835
382,3.036142
383,3.077129
384,3.082295
385,3.050544
386,3.099740
387,3.068402
388,3.039802
389,3.142034
390,3.050654
391,3.033782
392,3.118328
393,2.983267
394,3.007691
395,3.019406
396,2.987480
397,3.267941
398,2.971654
399,3.014763
400,3.051029
401,3.048037
402,3.063359
403,2.952825
404,3.054764
405,3.095554
406,3.059844
407,3.187226
408,2.999897
409,2.971159
410,2.977229
411,3.226338
412,3.071266
413,2.965856
414,3.013244
415,3.146938
416,2.965264
417,3.044942
418,2.994510
419,2.983082
420,3.011238
421,3.163531
422,3.012835
423,2.987945
424,3.066896
425,3.054865
426,3.131023
427,3.006176
428,3.006537
429,3.074113
430,3.035825
431,3.131265
432,2.951337
433,2.973179
434,2.983986
435,3.062577
436,3.160712
437,3.130605
438,2.939166
439,2.980325
440,3.127645
441,2.914377
442,3.200455
443,2.966265
444,3.209397
445,3.246682
446,3.091703
447,3.150125
448,3.108140
449,2.984386
450,3.024803
451,2.963498
452,2.985665
453,2.934716
454,2.949977
455,2.983994
456,3.001259
457,2.928790
458,4.255817
459,3.066904
460,3.093622
461,3.030196
462,2.966185
463,3.090487
464,2.908434
465,2.926423
466,2.946452
467,3.063919
468,2.976483
469,2.977741
470,2.991369
471,2.992701
472,2.901807
473,2.988952
474,2.912324
475,2.989084
476,2.917674
477,2.888271
478,3.060053
479,3.021649
480,2.921926
481,3.309349
482,3.071081
483,3.079150
484,2.929868
485,2.964246
486,2.946552
487,3.109798
