model_type,val_ppl,quality_target,quality_target_met,generated_tokens,elapsed_sec,toks_per_sec,peak_mem_mb,estimated_cost_per_1m_tokens_usd
baseline,13.329824486305693,8.0,False,32,0.11274600000000001,283.82381636599075,0.9276981353759766,0.019965437500000006
hybrid,7.23327434177417,8.0,True,32,0.2495786659999999,128.2160871875163,0.9276981353759766,0.04419622210416665
