context_len,seed,peak_mem_mb_baseline,peak_mem_mb_hybrid,toks_per_sec_baseline,toks_per_sec_hybrid,val_ppl_baseline,val_ppl_hybrid,delta_vs_paired_baseline_val_ppl,delta_vs_paired_baseline_peak_mem_mb,delta_vs_paired_baseline_toks_per_sec
256,11,1179.46875,1201.328125,65733.09956739178,13023.48813846526,13.978711929395883,8.5910931348266,-5.387618794569283,21.859375,-52709.61142892652
256,22,1213.328125,1217.328125,61416.79067219037,12535.877387656255,13.845863702784015,8.724409692575948,-5.121454010208067,4.0,-48880.913284534116
256,33,1213.328125,1217.328125,64581.52228511908,12534.927638576031,14.477375845213649,8.196651811489815,-6.280724033723834,4.0,-52046.594646543046
512,11,3328.28125,3335.296875,52953.48818686384,7163.480599531838,12.972693968814212,7.540200616246867,-5.432493352567345,7.015625,-45790.007587332
512,22,3331.296875,3333.296875,36682.96257248521,6635.069096951718,12.778560674548196,7.541584046754174,-5.2369766277940215,2.0,-30047.893475533492
512,33,3331.296875,3331.296875,39905.94425560842,6456.167585340511,13.364139221764896,7.80106390737881,-5.563075314386086,0.0,-33449.77667026791
1024,11,8646.734375,8658.3125,8350.0861422322,5104.800610290384,13.114424800920537,7.088671845488104,-6.0257529554324325,11.578125,-3245.285531941816
1024,22,10706.3125,10708.3125,19706.680103387866,5443.5548909706085,13.167900432163623,7.059778325939345,-6.108122106224278,2.0,-14263.125212417257
1024,33,10708.3125,10708.3125,19876.139026040684,5510.953256364164,13.060832051138645,7.145640041681226,-5.915192009457419,0.0,-14365.18576967652
