context_len,n_pairs,delta_val_ppl_mean,delta_val_ppl_std,delta_peak_mem_mb_mean,delta_peak_mem_mb_std,delta_toks_per_sec_mean,delta_toks_per_sec_std,delta_val_ppl_ci95,delta_peak_mem_mb_ci95,delta_toks_per_sec_ci95,quality_direction,memory_direction,speed_direction,evidence_strength,claim_guard
256,3,-5.59659894616706,0.6072324716918013,9.953125,10.311114963808473,-51212.373120001226,2046.1369789747162,0.6871482287442088,11.668125,2315.421961795404,hybrid better,hybrid worse,hybrid worse,replicated,ok
512,3,-5.410848431582484,0.16412332345708203,3.0052083333333335,3.61421933205614,-36429.225911044465,8283.198507279325,0.18572302415735495,4.089874188375005,9373.321500340497,hybrid better,hybrid worse,hybrid worse,replicated,ok
1024,3,-6.016355690371377,0.09680773214257296,4.526041666666667,6.188611274365868,-10624.532171345198,6390.818790514764,0.10954826161581731,7.00307291492357,7231.892260129803,hybrid better,hybrid worse,hybrid worse,replicated,ok
